"","lake","species","bill_length_mm","bill_depth_mm","leg_length_mm","body_mass_g","sex","year"
"71","Bogoria","Greater Flamingo",122.6,23,348,2347,"",2022
"72","Nakuru","Lesser Flamingo",87,24.8,259.8,1316,"female",2023
"73","Nakuru","Lesser Flamingo",99.3,22.7,256,1866,"female",2022
"74","Elementaita","Greater Flamingo",135.7,NA,358.1,3516,"male",2023
"75","Nakuru","Lesser Flamingo",99.4,25.7,254.6,1726,"male",2022
"76","Bogoria","Lesser Flamingo",101.1,26.7,284.1,1930,"male",2022
"77","Nakuru","Lesser Flamingo",103.9,25.5,255.1,1880,"male",2022
"78","Elementaita","Lesser Flamingo",96.9,30.7,244.9,NA,"male",2023
"79","Nakuru","Lesser Flamingo",105.3,32,286.6,2055,"male",2023
"80","Nakuru","Lesser Flamingo",98,24.4,257.8,1546,"female",2022
"81","Nakuru","Lesser Flamingo",98.7,26.3,253,1710,"female",2021
"82","Nakuru","Lesser Flamingo",96.1,28.4,300.2,1853,"male",2021
"83","Elementaita","Lesser Flamingo",95.9,26.6,279.9,1648,"female",2021
"84","Nakuru","Greater Flamingo",136.3,20,377.8,3156,"male",2022
"85","Nakuru","Lesser Flamingo",106,29.2,272.8,1769,"male",2022
"86","Elementaita","Greater Flamingo",128.2,20.4,385.5,3649,"male",2022
"87","Elementaita","Lesser Flamingo",100.2,25.7,292.4,1842,"male",2021
"88","Nakuru","Greater Flamingo",132.8,19.9,364.6,3252,"male",2022
"89","Elementaita","Lesser Flamingo",97.2,24.8,298.5,1830,"male",2022
"90","Elementaita","Lesser Flamingo",94.6,26.3,265.2,1364,"female",2021
"91","Nakuru","Lesser Flamingo",99.9,28,271.9,1865,"female",2023
"92","Nakuru","Lesser Flamingo",95.6,27.1,268.2,1761,"female",2023
"93","Elementaita","Lesser Flamingo",97,23.9,257.8,2038,"female",2023
"94","Bogoria","Lesser Flamingo",99.9,28.1,254.2,1806,"female",2023
"95","Bogoria","Lesser Flamingo",95.6,28.6,269.2,1515,"female",2023
"96","Bogoria","Lesser Flamingo",100.1,29.7,271.5,1826,"male",2022
"97","Nakuru","Lesser Flamingo",101.5,24.7,271.8,1661,"male",2023
"98","Bogoria","Lesser Flamingo",100.2,28.5,278,1536,"male",2021
"99","Nakuru","Lesser Flamingo",95.7,28.2,275.3,1927,"male",2021
"100","Elementaita","Lesser Flamingo",98.8,27.2,270.7,1501,"female",2022
"101","Nakuru","Lesser Flamingo",93.4,25.8,256.4,1437,"female",2021
"102","Bogoria","Lesser Flamingo",90.2,24.2,256.5,1417,"female",2023
"103","Nakuru","Lesser Flamingo",96.5,25.8,248.2,1490,"female",2023
"104","Bogoria","Lesser Flamingo",93.7,26,257.6,1434,"female",2023
"105","Nakuru","Lesser Flamingo",96,26.7,271.4,1512,"female",2022
"106","Bogoria","Lesser Flamingo",99.1,25.6,252.2,1539,"female",2022
"107","Bogoria","Lesser Flamingo",105.9,24.5,274,1618,"female",2022
"108","Nakuru","Lesser Flamingo",99.4,28.5,293,1830,"male",2023
"109","Bogoria","Lesser Flamingo",93.2,28.3,286.9,1647,"male",2021
"110","Elementaita","Lesser Flamingo",93.3,25.4,263.2,1725,"male",2023
"111","Nakuru","Lesser Flamingo",97.7,31.8,291.2,2079,"male",2023
"112","Bogoria","Greater Flamingo",134.9,18.9,371.3,2971,"female",2023
"113","Nakuru","Lesser Flamingo",96.6,33.9,279,1972,"male",2022
"114","Bogoria","Lesser Flamingo",95.3,23.7,275,1567,"female",2021
"115","Nakuru","Greater Flamingo",136.8,25,368.5,2746,"male",2021
"116","Bogoria","Lesser Flamingo",99,31,284.7,1736,"male",2021
"117","Nakuru","Lesser Flamingo",95.3,25,245.4,1470,"female",2021
"118","Elementaita","Greater Flamingo",125.4,18.1,342.8,3289,"female",2023
"119","Nakuru","Lesser Flamingo",97.5,28.5,268.7,1742,"female",2022
"120","Bogoria","Lesser Flamingo",100,28.8,293.2,1725,"male",2023
"121","Elementaita","Lesser Flamingo",95.5,21,273,1531,"female",2023
"122","Bogoria","Lesser Flamingo",102.7,28,293.6,1752,"male",2022
"123","Elementaita","Greater Flamingo",118.2,22.7,342.4,3108,"female",2023
"124","Bogoria","Lesser Flamingo",88.6,31,252.4,1652,"female",2021
"125","Elementaita","Greater Flamingo",123.6,20.5,358.3,3215,"female",2021
"126","Elementaita","Lesser Flamingo",95.1,24.7,272.7,1790,"female",2021
"127","Nakuru","Lesser Flamingo",96.9,25,274.7,1588,"female",2021
"128","Bogoria","Lesser Flamingo",101.7,29.3,249.6,1629,"male",2021
"129","Bogoria","Lesser Flamingo",96.8,28.4,284.3,1378,"female",2023
"130","Nakuru","Greater Flamingo",119.2,19,338.4,3582,"male",2021
"131","Elementaita","Greater Flamingo",137.9,20.7,356.5,3226,"male",2023
"132","Nakuru","Lesser Flamingo",89.4,29.7,293,1509,"male",2023
"133","Bogoria","Lesser Flamingo",94.5,27,257.1,1530,"female",2022
"134","Bogoria","Lesser Flamingo",92.2,27.4,248.6,1555,"female",2022
"135","Bogoria","Lesser Flamingo",98.6,29.3,242.7,1426,"female",2022
"136","Nakuru","Lesser Flamingo",104.2,31,273.2,1466,"female",2022
"137","Bogoria","Lesser Flamingo",99.5,24.1,277.8,1839,"male",2022
"138","Bogoria","Lesser Flamingo",95,27.5,273.8,1429,"female",2022
"139","Bogoria","Lesser Flamingo",90.5,23.4,272.1,1579,"male",2022
"140","Nakuru","Lesser Flamingo",100.2,25.7,258.8,1433,"female",2021
"141","Nakuru","Lesser Flamingo",106.2,25.9,273.1,1859,"male",2021
"142","Nakuru","Greater Flamingo",128.1,23.7,382.9,2934,"male",2023
"143","Bogoria","Lesser Flamingo",94.9,22,269.6,1354,"female",2021
"144","Nakuru","Lesser Flamingo",99.4,23.7,251.6,1504,"female",2023
"145","Elementaita","Greater Flamingo",130.1,22.6,337.3,3101,"female",2023
"146","Bogoria","Lesser Flamingo",91.6,27.6,268,1711,"female",2023
"147","Nakuru","Greater Flamingo",119.9,22.1,328.4,3169,"female",2021
"148","Nakuru","Lesser Flamingo",96.6,29.6,258.3,1405,"female",2022
"149","Bogoria","Lesser Flamingo",92.6,27.6,274,1571,"",2021
"150","Elementaita","Greater Flamingo",125.5,20.3,368.1,3244,"female",2023
"151","Nakuru","Lesser Flamingo",103.7,27.9,290,1386,"male",2022
"152","Elementaita","Greater Flamingo",122.8,22.7,351.4,3037,"female",2021
"153","Nakuru","Lesser Flamingo",90,29.7,259.9,1518,"female",2021
"154","Elementaita","Lesser Flamingo",97.2,23.9,275.4,1829,"male",2021
"155","Bogoria","Lesser Flamingo",86.8,27.9,266.3,1453,"female",2021
"156","Bogoria","Lesser Flamingo",103,26.5,270.2,1978,"male",2021
"157","Elementaita","Greater Flamingo",132.8,25.5,373.5,2887,"female",2023
"158","Nakuru","Lesser Flamingo",103.9,29,295.9,1871,"male",2023
"159","Elementaita","Greater Flamingo",131.7,19.2,348.6,2861,"female",2021
"160","Nakuru","Greater Flamingo",120.5,23.2,317.1,3108,"female",2021
"161","Elementaita","Lesser Flamingo",110.5,24.2,295.6,2025,"male",2021
"162","Nakuru","Lesser Flamingo",97.4,24.3,298.2,1952,"male",2023
"163","Bogoria","Greater Flamingo",132.8,25.2,351.9,3055,"male",2023
"164","Bogoria","Lesser Flamingo",92.6,29.9,261.9,1585,"female",2021
"165","Elementaita","Lesser Flamingo",102.3,30.2,271.7,1489,"female",2023
"166","Bogoria","Lesser Flamingo",95.9,30.3,278.6,1806,"male",2021
"167","Nakuru","Greater Flamingo",120.3,23.2,331,2937,"female",2023
"168","Bogoria","Lesser Flamingo",94.4,28.3,253.7,1206,"female",2021
"169","Nakuru","Lesser Flamingo",101.8,28.9,266.9,1811,"male",2021
"170","Nakuru","Lesser Flamingo",100.9,27.3,295.5,2051,"male",2021
"171","Bogoria","Lesser Flamingo",98,30.6,282.1,1813,"male",2021
"172","Nakuru","Lesser Flamingo",99.7,27.9,277,1784,"male",2021
"173","Nakuru","Lesser Flamingo",99.8,29.4,299.5,1907,"male",2021
"174","Nakuru","Lesser Flamingo",100.1,25.1,280.8,1587,"male",2022
"175","Elementaita","Lesser Flamingo",106.1,30.4,247.8,1671,"male",2022
"176","Nakuru","Lesser Flamingo",100.1,23.3,265.2,1713,"female",2022
"177","Nakuru","Lesser Flamingo",94.1,27.5,272.6,1510,"female",2022
"178","Nakuru","Lesser Flamingo",102.6,26.6,277.7,1737,"male",2023
"179","Elementaita","Greater Flamingo",128.4,21.6,324.4,3199,"male",2022
"180","Bogoria","Lesser Flamingo",98.5,25.7,247.1,1565,"female",2023
"181","Bogoria","Lesser Flamingo",104.2,32.1,262.2,1616,"male",2023
"182","Elementaita","Lesser Flamingo",95.1,25.9,286.1,1854,"male",2021
"183","Bogoria","Greater Flamingo",128.8,NA,365.5,3065,"male",2022
"184","Bogoria","Lesser Flamingo",92.6,27.9,268.7,1508,"female",2023
"185","Nakuru","Lesser Flamingo",101.4,31.7,289.4,1733,"male",2021
"186","Bogoria","Lesser Flamingo",92,26.9,238.5,1849,"female",2023
"187","Nakuru","Lesser Flamingo",101.1,25,299.7,1874,"male",2022
"188","Nakuru","Lesser Flamingo",94.2,27.3,279.3,1365,"female",2022
"189","Nakuru","Lesser Flamingo",97.7,29.8,305.1,1734,"male",2021
"190","Bogoria","Lesser Flamingo",97.9,25.6,268.8,1556,"female",2022
"191","Nakuru","Greater Flamingo",127.7,21.2,325,NA,"female",2023
"192","Nakuru","Lesser Flamingo",97.7,NA,244.8,1293,"female",2023
"193","Bogoria","Lesser Flamingo",90.8,23.1,246,1582,"female",2021
"194","Nakuru","Lesser Flamingo",104,25.6,288,1651,"male",2021
"195","Nakuru","Lesser Flamingo",95,25,293.8,1557,"male",2021
"196","Nakuru","Lesser Flamingo",101.9,32,243.7,1410,"female",2022
"197","Bogoria","Lesser Flamingo",100.4,29.6,271.1,1530,"male",2021
"198","Nakuru","Lesser Flamingo",93.8,24.7,253.6,1484,"female",2023
"199","Nakuru","Greater Flamingo",125.2,22,352.8,3206,"male",2021
"200","Bogoria","Lesser Flamingo",94.7,33,279,1832,"male",2021
"201","Bogoria","Lesser Flamingo",102.3,27.9,263.8,1905,"male",2021
"202","Bogoria","Lesser Flamingo",98.4,28.3,271.9,1897,"male",2023
"203","Bogoria","Lesser Flamingo",100,26.7,254.7,1529,"female",2021
"204","Nakuru","Lesser Flamingo",102.7,26.9,293.6,1836,"male",2023
"205","Bogoria","Greater Flamingo",124.9,25.8,334.5,2909,"female",2023
"206","Nakuru","Lesser Flamingo",93.7,27.2,267.7,1601,"female",2023
"207","Nakuru","Greater Flamingo",120.1,25.1,328.6,2541,"female",2022
"208","Elementaita","Greater Flamingo",138.7,21,347.1,3719,"male",2023
"209","Nakuru","Lesser Flamingo",96.8,21.6,256.2,1780,"female",2023
"210","Nakuru","Lesser Flamingo",96.7,25.1,262.3,1627,"female",2022
"211","Elementaita","Lesser Flamingo",97.5,27.8,260.8,1559,"female",2021
"212","Bogoria","Lesser Flamingo",97.1,25.2,283.9,1626,"male",2022
"213","Nakuru","Greater Flamingo",117.2,23.1,393.1,3435,"male",2022
"214","Nakuru","Lesser Flamingo",92.6,27,245.6,1509,"female",2022
"215","Elementaita","Lesser Flamingo",101.4,27.8,270,1848,"male",2022
"216","Elementaita","Greater Flamingo",122.5,19.6,336.4,NA,"female",2023
"217","Bogoria","Lesser Flamingo",98.1,25,264.3,1550,"female",2023
"218","Elementaita","Greater Flamingo",123,19.4,362.2,NA,"female",2022
"219","Bogoria","Lesser Flamingo",92.7,30.3,252,1777,"female",2022
"220","Nakuru","Lesser Flamingo",102.1,25.2,280.2,1707,"male",2022
"221","Elementaita","Lesser Flamingo",97.4,23.1,263.1,1595,"female",2022
"222","Bogoria","Lesser Flamingo",90.3,27.5,280.8,1777,"male",2023
"223","Elementaita","Lesser Flamingo",105.5,31.2,251.7,1889,"",2021
"224","Bogoria","Greater Flamingo",137,25.1,354.1,2551,"male",2022
"225","Bogoria","Lesser Flamingo",90.3,30,260.2,1433,"female",2021
"226","Nakuru","Lesser Flamingo",98.5,24.9,269.7,1894,"",2022
"227","Nakuru","Lesser Flamingo",95.9,28.3,268.4,1795,"male",2021
"228","Bogoria","Lesser Flamingo",98.9,24.5,277.4,1902,"male",2021
"229","Nakuru","Lesser Flamingo",86.1,26.3,271.8,1954,"male",2021
"230","Nakuru","Lesser Flamingo",100.3,29.4,292.7,1494,"male",2023
"231","Nakuru","Lesser Flamingo",95.5,26.2,244.3,1472,"female",2021
"232","Nakuru","Greater Flamingo",133.3,23.1,383.5,3982,"male",2022
"233","Bogoria","Lesser Flamingo",95.6,30.5,249.7,1421,"female",2023
"234","Nakuru","Lesser Flamingo",97.8,26.5,275.5,1568,"female",2023
"235","Nakuru","Greater Flamingo",133.1,22.2,342.2,2888,"male",2022
"236","Bogoria","Lesser Flamingo",98.9,29.9,281.6,1218,"female",2021
"237","Nakuru","Lesser Flamingo",96.1,27.2,271,1377,"female",2021
"238","Bogoria","Lesser Flamingo",101.9,31.8,290.1,1437,"male",2023
"239","Bogoria","Lesser Flamingo",97.8,30,258.3,1694,"female",2022
"240","Bogoria","Lesser Flamingo",100.8,31.3,276.5,1727,"male",2021
"241","Nakuru","Lesser Flamingo",92,21.6,254.3,1382,"female",2022
"242","Elementaita","Greater Flamingo",127.1,19.3,365.2,3113,"female",2023
"243","Bogoria","Lesser Flamingo",104.4,31.9,263.2,1855,"male",2021
"244","Bogoria","Lesser Flamingo",99.7,27.3,241.9,1406,"female",2021
"245","Bogoria","Lesser Flamingo",106.3,27.9,299.9,2083,"male",2022
"246","Nakuru","Lesser Flamingo",101.8,28.6,286.2,1798,"male",2023
"247","Nakuru","Lesser Flamingo",94.7,28.9,252.7,1544,"female",2023
"248","Nakuru","Greater Flamingo",118.4,25.3,342,2885,"female",2022
"249","Bogoria","Lesser Flamingo",101.3,26.6,277.4,2086,"male",2021
"250","Bogoria","Lesser Flamingo",99.8,28.1,287.3,1630,"male",2023
"251","Bogoria","Lesser Flamingo",91,27.9,245.1,1364,"female",2021
"252","Nakuru","Lesser Flamingo",94,26.6,257.5,1404,"female",2022
"253","Bogoria","Lesser Flamingo",101,25.9,288.3,1755,"male",2023
"254","Bogoria","Greater Flamingo",117.2,23.9,333.9,2876,"female",2021
"255","Bogoria","Lesser Flamingo",108.4,29,298.7,1881,"male",2021
"256","Bogoria","Lesser Flamingo",94,28.9,279,1561,"male",2022
"257","Nakuru","Lesser Flamingo",103.9,26.2,248,2164,"male",2021
"258","Elementaita","Lesser Flamingo",100.8,25.1,264.4,1968,"male",2021
"259","Elementaita","Greater Flamingo",116.1,19.3,357.6,3038,"female",2021
"260","Bogoria","Lesser Flamingo",99.6,30.1,278.5,1800,"male",2021
"261","Bogoria","Lesser Flamingo",92.8,26.6,273.4,1545,"",2021
"262","Bogoria","Lesser Flamingo",105.5,24.9,271,1692,"",2021
"263","Nakuru","Lesser Flamingo",90.3,25.7,297.5,1869,"male",2023
"264","Nakuru","Lesser Flamingo",95.6,31.1,268.7,1864,"male",2022
"265","Nakuru","Lesser Flamingo",101,25.7,272.3,1855,"male",2021
"266","Bogoria","Lesser Flamingo",96.8,28.9,266.6,1635,"female",2023
"267","Nakuru","Greater Flamingo",125.8,22.1,381.1,3102,"female",2022
"268","Nakuru","Lesser Flamingo",98,29.6,275.2,1808,"male",2022
"269","Elementaita","Lesser Flamingo",93.2,25.8,270.6,2033,"male",2021
"270","Elementaita","Greater Flamingo",123,22.6,374.2,3452,"male",2021
"271","Nakuru","Lesser Flamingo",101.8,26.8,251.4,2028,"male",2023
"272","Nakuru","Lesser Flamingo",101.5,26.8,287.7,1633,"male",2023
"273","Nakuru","Greater Flamingo",123,22.6,350.5,3864,"male",2022
"274","Nakuru","Lesser Flamingo",102.6,26.8,300.2,1659,"male",2022
"275","Elementaita","Lesser Flamingo",97.4,26.9,249.8,1640,"female",2022
"276","Nakuru","Lesser Flamingo",100.8,23.4,264.1,1641,"female",2022
"277","Nakuru","Lesser Flamingo",96.9,21.9,250.7,1791,"female",2021
"278","Bogoria","Lesser Flamingo",100.9,28.2,286,1843,"male",2021
"279","Nakuru","Lesser Flamingo",99.5,30.1,258.9,1730,"male",2023
"280","Bogoria","Greater Flamingo",128.3,20.9,356.9,2824,"female",2022
"281","Elementaita","Lesser Flamingo",103.5,22,272.3,1505,"female",2022
"282","Nakuru","Lesser Flamingo",95.9,25.7,285.4,1989,"male",2023
"283","Nakuru","Greater Flamingo",128.7,23.7,363.2,3656,"male",2023
"284","Nakuru","Greater Flamingo",128,20,362.7,3320,"male",2021
"285","Nakuru","Lesser Flamingo",95.9,32,273.6,1626,"female",2021
"286","Bogoria","Lesser Flamingo",97,21,294.6,1500,"female",2023
"287","Elementaita","Lesser Flamingo",100.6,28.4,286.9,2025,"male",2023
"288","Elementaita","Lesser Flamingo",96.5,26.6,281.8,1903,"male",2023
"289","Nakuru","Lesser Flamingo",97.3,26.3,242.2,1572,"female",2021
"290","Nakuru","Lesser Flamingo",100.7,28.3,271,1851,"female",2021
"291","Elementaita","Greater Flamingo",121.5,21.4,357.3,2729,"female",2023
"292","Nakuru","Lesser Flamingo",90.5,26.1,256.5,1590,"female",2022
"293","Nakuru","Lesser Flamingo",97.2,25.2,284.4,1651,"female",2021
"294","Bogoria","Lesser Flamingo",92.1,30.7,259,1358,"female",2021
"295","Elementaita","Lesser Flamingo",100.5,27.2,288.6,2108,"male",2022
"296","Nakuru","Lesser Flamingo",103.5,28.9,287.3,1647,"male",2022
"297","Bogoria","Lesser Flamingo",102.3,27.6,259.4,1724,"female",2022
"298","Bogoria","Lesser Flamingo",99.1,24.5,247.3,1751,"male",2021
"299","Elementaita","Lesser Flamingo",99.3,25.5,299.1,1833,"male",2022
"300","Nakuru","Lesser Flamingo",101.6,33.2,277.9,1946,"male",2022
"301","Elementaita","Lesser Flamingo",100,26.4,274.7,1700,"female",2022
"302","Bogoria","Lesser Flamingo",98.3,28.1,252.8,1572,"female",2021
"303","Nakuru","Lesser Flamingo",96.8,25.7,289,1869,"male",2022
"304","Elementaita","Greater Flamingo",131,23.3,369.4,3225,"male",2021
"305","Nakuru","Lesser Flamingo",103,27.5,288.4,1680,"male",2023
"306","Bogoria","Lesser Flamingo",101.2,30.4,279.6,1589,"female",2021
"307","Nakuru","Lesser Flamingo",96.6,26,263.2,1500,"female",2021
"308","Bogoria","Lesser Flamingo",100.8,28.3,271.2,1511,"female",2022
"309","Bogoria","Lesser Flamingo",96.2,27.8,256.9,1297,"",2023
"310","Elementaita","Lesser Flamingo",94.8,28.8,268.2,1879,"female",2021
"311","Bogoria","Greater Flamingo",134.1,27.2,371.7,3278,"male",2022
"312","Nakuru","Greater Flamingo",127.8,22.8,344.7,3075,"male",2021
"313","Bogoria","Lesser Flamingo",96.2,23.7,254.7,NA,"female",2023
"314","Nakuru","Lesser Flamingo",94.6,27.6,265.9,1831,"female",2023
"315","Bogoria","Lesser Flamingo",98.7,31.7,260.4,1394,"female",2022
"316","Elementaita","Greater Flamingo",126.1,24.7,359.7,3185,"female",2022
"317","Elementaita","Lesser Flamingo",102.7,26.5,290.9,2230,"male",2021
"318","Bogoria","Lesser Flamingo",91.5,NA,279.5,1940,"male",2022
"319","Bogoria","Lesser Flamingo",97.2,27.4,254.6,1901,"female",2023
"320","Nakuru","Lesser Flamingo",98.8,28.8,267.5,1671,"female",2023
"321","Bogoria","Lesser Flamingo",99.1,27.9,289,1660,"male",2022
"322","Bogoria","Lesser Flamingo",101.9,29.7,283.3,1579,"female",2023
"323","Elementaita","Greater Flamingo",115.9,20.2,356,2750,"female",2021
"324","Bogoria","Lesser Flamingo",91.2,24.4,276.5,1648,"male",2023
"325","Nakuru","Lesser Flamingo",95.4,25.5,258.3,1469,"female",2022
"326","Bogoria","Lesser Flamingo",95.9,26.9,280.2,1814,"male",2023
"327","Nakuru","Lesser Flamingo",92.5,23.6,285.6,1684,"male",2023
"328","Bogoria","Lesser Flamingo",100.1,27.3,268.2,1832,"female",2021
"329","Elementaita","Greater Flamingo",122,19.8,355.5,3017,"female",2021
"330","Nakuru","Lesser Flamingo",99.2,27.8,263.7,1862,"male",2021
"331","Nakuru","Lesser Flamingo",98.6,30.8,259.2,1545,"female",2023
"332","Nakuru","Lesser Flamingo",102.8,26.9,271.9,1731,"female",2023
"333","Bogoria","Lesser Flamingo",103.8,26.9,268.6,1724,"male",2023
"334","Bogoria","Lesser Flamingo",96.3,21.6,296,1849,"male",2023
"335","Nakuru","Lesser Flamingo",96.6,26.9,247.2,NA,"male",2022
"336","Nakuru","Greater Flamingo",124.5,19.7,326.9,3546,"female",2021
"337","Nakuru","Lesser Flamingo",95.1,25.8,254.7,1458,"female",2023
"338","Bogoria","Lesser Flamingo",98.8,27.2,260.7,1449,"female",2022
"339","Nakuru","Lesser Flamingo",96.2,29.6,263.8,1709,"female",2022
"340","Bogoria","Lesser Flamingo",100.4,21.6,277.8,1941,"male",2023
"341","Nakuru","Lesser Flamingo",91.2,23,253,1588,"female",2023
"342","Nakuru","Lesser Flamingo",93.8,25.7,269.2,1849,"male",2023
"343","Bogoria","Lesser Flamingo",97.1,25.9,246.1,1702,"female",2022
"344","Bogoria","Lesser Flamingo",89.2,30.6,282.2,NA,"female",2021
